image_path,mask_path,file_class,true_class,true_class_id,mask_area,conflict
/workspace/dataset/train/images/normal (5).png,/workspace/dataset/train/masks/normal (5)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (101).png,/workspace/dataset/train/masks/malignant (101)_mask.png,Malignant,Malignant,1,68531,False
/workspace/dataset/train/images/benign (115).png,/workspace/dataset/train/masks/benign (115)_mask.png,Benign,Malignant,1,4295,True
/workspace/dataset/train/images/benign (37).png,/workspace/dataset/train/masks/benign (37)_mask.png,Benign,Malignant,1,4498,True
/workspace/dataset/train/images/benign (81).png,/workspace/dataset/train/masks/benign (81)_mask.png,Benign,Malignant,1,4011,True
/workspace/dataset/train/images/benign (314).png,/workspace/dataset/train/masks/benign (314)_mask.png,Benign,Malignant,1,17929,True
/workspace/dataset/train/images/benign (110).png,/workspace/dataset/train/masks/benign (110)_mask.png,Benign,Malignant,1,37724,True
/workspace/dataset/train/images/malignant (125).png,/workspace/dataset/train/masks/malignant (125)_mask.png,Malignant,Malignant,1,13033,False
/workspace/dataset/train/images/benign (368).png,/workspace/dataset/train/masks/benign (368)_mask.png,Benign,Malignant,1,7759,True
/workspace/dataset/train/images/benign (5).png,/workspace/dataset/train/masks/benign (5)_mask.png,Benign,Malignant,1,3409,True
/workspace/dataset/train/images/benign (415).png,/workspace/dataset/train/masks/benign (415)_mask.png,Benign,Malignant,1,209121,True
/workspace/dataset/train/images/benign (429).png,/workspace/dataset/train/masks/benign (429)_mask.png,Benign,Malignant,1,3225,True
/workspace/dataset/train/images/malignant (210).png,/workspace/dataset/train/masks/malignant (210)_mask.png,Malignant,Malignant,1,100618,False
/workspace/dataset/train/images/benign (3).png,/workspace/dataset/train/masks/benign (3)_mask.png,Benign,Malignant,1,7022,True
/workspace/dataset/train/images/benign (104).png,/workspace/dataset/train/masks/benign (104)_mask.png,Benign,Malignant,1,3930,True
/workspace/dataset/train/images/normal (58).png,/workspace/dataset/train/masks/normal (58)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (106).png,/workspace/dataset/train/masks/benign (106)_mask.png,Benign,Malignant,1,11670,True
/workspace/dataset/train/images/malignant (165).png,/workspace/dataset/train/masks/malignant (165)_mask.png,Malignant,Malignant,1,70769,False
/workspace/dataset/train/images/normal (25).png,/workspace/dataset/train/masks/normal (25)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (180).png,/workspace/dataset/train/masks/benign (180)_mask.png,Benign,Malignant,1,11539,True
/workspace/dataset/train/images/normal (65).png,/workspace/dataset/train/masks/normal (65)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (42).png,/workspace/dataset/train/masks/benign (42)_mask.png,Benign,Malignant,1,16545,True
/workspace/dataset/train/images/malignant (22).png,/workspace/dataset/train/masks/malignant (22)_mask.png,Malignant,Malignant,1,41476,False
/workspace/dataset/train/images/normal (39).png,/workspace/dataset/train/masks/normal (39)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/normal (48).png,/workspace/dataset/train/masks/normal (48)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (201).png,/workspace/dataset/train/masks/benign (201)_mask.png,Benign,Malignant,1,6540,True
/workspace/dataset/train/images/benign (336).png,/workspace/dataset/train/masks/benign (336)_mask.png,Benign,Malignant,1,18176,True
/workspace/dataset/train/images/benign (166).png,/workspace/dataset/train/masks/benign (166)_mask.png,Benign,Malignant,1,2895,True
/workspace/dataset/train/images/benign (399).png,/workspace/dataset/train/masks/benign (399)_mask.png,Benign,Malignant,1,36171,True
/workspace/dataset/train/images/malignant (112).png,/workspace/dataset/train/masks/malignant (112)_mask.png,Malignant,Malignant,1,5164,False
/workspace/dataset/train/images/normal (73).png,/workspace/dataset/train/masks/normal (73)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/normal (51).png,/workspace/dataset/train/masks/normal (51)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (46).png,/workspace/dataset/train/masks/benign (46)_mask.png,Benign,Malignant,1,2423,True
/workspace/dataset/train/images/normal (37).png,/workspace/dataset/train/masks/normal (37)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (209).png,/workspace/dataset/train/masks/benign (209)_mask.png,Benign,Malignant,1,7707,True
/workspace/dataset/train/images/malignant (152).png,/workspace/dataset/train/masks/malignant (152)_mask.png,Malignant,Malignant,1,96180,False
/workspace/dataset/train/images/malignant (51).png,/workspace/dataset/train/masks/malignant (51)_mask.png,Malignant,Malignant,1,22299,False
/workspace/dataset/train/images/benign (423).png,/workspace/dataset/train/masks/benign (423)_mask.png,Benign,Malignant,1,17387,True
/workspace/dataset/train/images/normal (131).png,/workspace/dataset/train/masks/normal (131)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (142).png,/workspace/dataset/train/masks/benign (142)_mask.png,Benign,Malignant,1,4471,True
/workspace/dataset/train/images/benign (377).png,/workspace/dataset/train/masks/benign (377)_mask.png,Benign,Malignant,1,9459,True
/workspace/dataset/train/images/normal (97).png,/workspace/dataset/train/masks/normal (97)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (43).png,/workspace/dataset/train/masks/malignant (43)_mask.png,Malignant,Malignant,1,85234,False
/workspace/dataset/train/images/malignant (6).png,/workspace/dataset/train/masks/malignant (6)_mask.png,Malignant,Malignant,1,12527,False
/workspace/dataset/train/images/normal (121).png,/workspace/dataset/train/masks/normal (121)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (179).png,/workspace/dataset/train/masks/benign (179)_mask.png,Benign,Malignant,1,967,True
/workspace/dataset/train/images/benign (431).png,/workspace/dataset/train/masks/benign (431)_mask.png,Benign,Malignant,1,4066,True
/workspace/dataset/train/images/malignant (90).png,/workspace/dataset/train/masks/malignant (90)_mask.png,Malignant,Malignant,1,48021,False
/workspace/dataset/train/images/malignant (140).png,/workspace/dataset/train/masks/malignant (140)_mask.png,Malignant,Malignant,1,29390,False
/workspace/dataset/train/images/normal (26).png,/workspace/dataset/train/masks/normal (26)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (379).png,/workspace/dataset/train/masks/benign (379)_mask.png,Benign,Malignant,1,17814,True
/workspace/dataset/train/images/benign (206).png,/workspace/dataset/train/masks/benign (206)_mask.png,Benign,Malignant,1,14848,True
/workspace/dataset/train/images/malignant (189).png,/workspace/dataset/train/masks/malignant (189)_mask.png,Malignant,Malignant,1,2832,False
/workspace/dataset/train/images/malignant (182).png,/workspace/dataset/train/masks/malignant (182)_mask.png,Malignant,Malignant,1,84653,False
/workspace/dataset/train/images/benign (116).png,/workspace/dataset/train/masks/benign (116)_mask.png,Benign,Malignant,1,5501,True
/workspace/dataset/train/images/benign (147).png,/workspace/dataset/train/masks/benign (147)_mask.png,Benign,Malignant,1,3721,True
/workspace/dataset/train/images/benign (362).png,/workspace/dataset/train/masks/benign (362)_mask.png,Benign,Malignant,1,3296,True
/workspace/dataset/train/images/benign (308).png,/workspace/dataset/train/masks/benign (308)_mask.png,Benign,Malignant,1,4201,True
/workspace/dataset/train/images/benign (318).png,/workspace/dataset/train/masks/benign (318)_mask.png,Benign,Malignant,1,1041,True
/workspace/dataset/train/images/benign (203).png,/workspace/dataset/train/masks/benign (203)_mask.png,Benign,Malignant,1,27411,True
/workspace/dataset/train/images/malignant (200).png,/workspace/dataset/train/masks/malignant (200)_mask.png,Malignant,Malignant,1,12666,False
/workspace/dataset/train/images/malignant (194).png,/workspace/dataset/train/masks/malignant (194)_mask.png,Malignant,Malignant,1,66499,False
/workspace/dataset/train/images/benign (291).png,/workspace/dataset/train/masks/benign (291)_mask.png,Benign,Malignant,1,2070,True
/workspace/dataset/train/images/benign (303).png,/workspace/dataset/train/masks/benign (303)_mask.png,Benign,Malignant,1,9377,True
/workspace/dataset/train/images/malignant (205).png,/workspace/dataset/train/masks/malignant (205)_mask.png,Malignant,Malignant,1,87721,False
/workspace/dataset/train/images/benign (109).png,/workspace/dataset/train/masks/benign (109)_mask.png,Benign,Malignant,1,28435,True
/workspace/dataset/train/images/benign (63).png,/workspace/dataset/train/masks/benign (63)_mask.png,Benign,Malignant,1,3949,True
/workspace/dataset/train/images/malignant (47).png,/workspace/dataset/train/masks/malignant (47)_mask.png,Malignant,Malignant,1,53149,False
/workspace/dataset/train/images/benign (374).png,/workspace/dataset/train/masks/benign (374)_mask.png,Benign,Malignant,1,1415,True
/workspace/dataset/train/images/benign (202).png,/workspace/dataset/train/masks/benign (202)_mask.png,Benign,Malignant,1,1568,True
/workspace/dataset/train/images/malignant (25).png,/workspace/dataset/train/masks/malignant (25)_mask.png,Malignant,Malignant,1,82133,False
/workspace/dataset/train/images/malignant (141).png,/workspace/dataset/train/masks/malignant (141)_mask.png,Malignant,Malignant,1,13438,False
/workspace/dataset/train/images/benign (417).png,/workspace/dataset/train/masks/benign (417)_mask.png,Benign,Malignant,1,7036,True
/workspace/dataset/train/images/benign (301).png,/workspace/dataset/train/masks/benign (301)_mask.png,Benign,Malignant,1,893,True
/workspace/dataset/train/images/benign (263).png,/workspace/dataset/train/masks/benign (263)_mask.png,Benign,Malignant,1,5734,True
/workspace/dataset/train/images/normal (86).png,/workspace/dataset/train/masks/normal (86)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (119).png,/workspace/dataset/train/masks/malignant (119)_mask.png,Malignant,Malignant,1,28930,False
/workspace/dataset/train/images/normal (41).png,/workspace/dataset/train/masks/normal (41)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (418).png,/workspace/dataset/train/masks/benign (418)_mask.png,Benign,Malignant,1,7406,True
/workspace/dataset/train/images/benign (34).png,/workspace/dataset/train/masks/benign (34)_mask.png,Benign,Malignant,1,13836,True
/workspace/dataset/train/images/benign (66).png,/workspace/dataset/train/masks/benign (66)_mask.png,Benign,Malignant,1,8318,True
/workspace/dataset/train/images/malignant (27).png,/workspace/dataset/train/masks/malignant (27)_mask.png,Malignant,Malignant,1,7527,False
/workspace/dataset/train/images/benign (163).png,/workspace/dataset/train/masks/benign (163)_mask.png,Benign,Malignant,1,2190,True
/workspace/dataset/train/images/benign (8).png,/workspace/dataset/train/masks/benign (8)_mask.png,Benign,Malignant,1,3997,True
/workspace/dataset/train/images/benign (436).png,/workspace/dataset/train/masks/benign (436)_mask.png,Benign,Malignant,1,22863,True
/workspace/dataset/train/images/benign (286).png,/workspace/dataset/train/masks/benign (286)_mask.png,Benign,Malignant,1,38246,True
/workspace/dataset/train/images/malignant (115).png,/workspace/dataset/train/masks/malignant (115)_mask.png,Malignant,Malignant,1,20719,False
/workspace/dataset/train/images/benign (259).png,/workspace/dataset/train/masks/benign (259)_mask.png,Benign,Malignant,1,9303,True
/workspace/dataset/train/images/malignant (61).png,/workspace/dataset/train/masks/malignant (61)_mask.png,Malignant,Malignant,1,8327,False
/workspace/dataset/train/images/benign (126).png,/workspace/dataset/train/masks/benign (126)_mask.png,Benign,Malignant,1,5662,True
/workspace/dataset/train/images/malignant (145).png,/workspace/dataset/train/masks/malignant (145)_mask.png,Malignant,Malignant,1,4112,False
/workspace/dataset/train/images/normal (34).png,/workspace/dataset/train/masks/normal (34)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (426).png,/workspace/dataset/train/masks/benign (426)_mask.png,Benign,Malignant,1,79105,True
/workspace/dataset/train/images/benign (283).png,/workspace/dataset/train/masks/benign (283)_mask.png,Benign,Malignant,1,3686,True
/workspace/dataset/train/images/benign (261).png,/workspace/dataset/train/masks/benign (261)_mask.png,Benign,Malignant,1,22135,True
/workspace/dataset/train/images/malignant (46).png,/workspace/dataset/train/masks/malignant (46)_mask.png,Malignant,Malignant,1,24723,False
/workspace/dataset/train/images/benign (54).png,/workspace/dataset/train/masks/benign (54)_mask.png,Benign,Malignant,1,19141,True
/workspace/dataset/train/images/benign (140).png,/workspace/dataset/train/masks/benign (140)_mask.png,Benign,Malignant,1,51903,True
/workspace/dataset/train/images/benign (424).png,/workspace/dataset/train/masks/benign (424)_mask.png,Benign,Malignant,1,4425,True
/workspace/dataset/train/images/benign (214).png,/workspace/dataset/train/masks/benign (214)_mask.png,Benign,Malignant,1,13344,True
/workspace/dataset/train/images/normal (23).png,/workspace/dataset/train/masks/normal (23)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/normal (70).png,/workspace/dataset/train/masks/normal (70)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (236).png,/workspace/dataset/train/masks/benign (236)_mask.png,Benign,Malignant,1,80548,True
/workspace/dataset/train/images/malignant (147).png,/workspace/dataset/train/masks/malignant (147)_mask.png,Malignant,Malignant,1,11899,False
/workspace/dataset/train/images/benign (333).png,/workspace/dataset/train/masks/benign (333)_mask.png,Benign,Malignant,1,48986,True
/workspace/dataset/train/images/benign (193).png,/workspace/dataset/train/masks/benign (193)_mask.png,Benign,Malignant,1,4502,True
/workspace/dataset/train/images/benign (161).png,/workspace/dataset/train/masks/benign (161)_mask.png,Benign,Malignant,1,3109,True
/workspace/dataset/train/images/malignant (72).png,/workspace/dataset/train/masks/malignant (72)_mask.png,Malignant,Malignant,1,122106,False
/workspace/dataset/train/images/benign (386).png,/workspace/dataset/train/masks/benign (386)_mask.png,Benign,Malignant,1,25588,True
/workspace/dataset/train/images/normal (99).png,/workspace/dataset/train/masks/normal (99)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/normal (40).png,/workspace/dataset/train/masks/normal (40)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (97).png,/workspace/dataset/train/masks/malignant (97)_mask.png,Malignant,Malignant,1,51487,False
/workspace/dataset/train/images/benign (143).png,/workspace/dataset/train/masks/benign (143)_mask.png,Benign,Malignant,1,1392,True
/workspace/dataset/train/images/normal (20).png,/workspace/dataset/train/masks/normal (20)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (151).png,/workspace/dataset/train/masks/benign (151)_mask.png,Benign,Malignant,1,2318,True
/workspace/dataset/train/images/normal (6).png,/workspace/dataset/train/masks/normal (6)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (139).png,/workspace/dataset/train/masks/benign (139)_mask.png,Benign,Malignant,1,10374,True
/workspace/dataset/train/images/benign (430).png,/workspace/dataset/train/masks/benign (430)_mask.png,Benign,Malignant,1,17936,True
/workspace/dataset/train/images/normal (29).png,/workspace/dataset/train/masks/normal (29)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (128).png,/workspace/dataset/train/masks/benign (128)_mask.png,Benign,Malignant,1,3891,True
/workspace/dataset/train/images/malignant (168).png,/workspace/dataset/train/masks/malignant (168)_mask.png,Malignant,Malignant,1,50109,False
/workspace/dataset/train/images/malignant (199).png,/workspace/dataset/train/masks/malignant (199)_mask.png,Malignant,Malignant,1,15851,False
/workspace/dataset/train/images/benign (295).png,/workspace/dataset/train/masks/benign (295)_mask.png,Benign,Malignant,1,10033,True
/workspace/dataset/train/images/malignant (178).png,/workspace/dataset/train/masks/malignant (178)_mask.png,Malignant,Malignant,1,23054,False
/workspace/dataset/train/images/benign (332).png,/workspace/dataset/train/masks/benign (332)_mask.png,Benign,Malignant,1,3636,True
/workspace/dataset/train/images/benign (177).png,/workspace/dataset/train/masks/benign (177)_mask.png,Benign,Malignant,1,2830,True
/workspace/dataset/train/images/benign (321).png,/workspace/dataset/train/masks/benign (321)_mask.png,Benign,Malignant,1,804,True
/workspace/dataset/train/images/normal (92).png,/workspace/dataset/train/masks/normal (92)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (398).png,/workspace/dataset/train/masks/benign (398)_mask.png,Benign,Malignant,1,57005,True
/workspace/dataset/train/images/benign (129).png,/workspace/dataset/train/masks/benign (129)_mask.png,Benign,Malignant,1,6490,True
/workspace/dataset/train/images/malignant (58).png,/workspace/dataset/train/masks/malignant (58)_mask.png,Malignant,Malignant,1,77150,False
/workspace/dataset/train/images/normal (61).png,/workspace/dataset/train/masks/normal (61)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (396).png,/workspace/dataset/train/masks/benign (396)_mask.png,Benign,Malignant,1,2738,True
/workspace/dataset/train/images/malignant (13).png,/workspace/dataset/train/masks/malignant (13)_mask.png,Malignant,Malignant,1,15446,False
/workspace/dataset/train/images/benign (27).png,/workspace/dataset/train/masks/benign (27)_mask.png,Benign,Malignant,1,6736,True
/workspace/dataset/train/images/benign (402).png,/workspace/dataset/train/masks/benign (402)_mask.png,Benign,Malignant,1,12053,True
/workspace/dataset/train/images/malignant (197).png,/workspace/dataset/train/masks/malignant (197)_mask.png,Malignant,Malignant,1,29061,False
/workspace/dataset/train/images/normal (2).png,/workspace/dataset/train/masks/normal (2)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (210).png,/workspace/dataset/train/masks/benign (210)_mask.png,Benign,Malignant,1,21372,True
/workspace/dataset/train/images/benign (317).png,/workspace/dataset/train/masks/benign (317)_mask.png,Benign,Malignant,1,22289,True
/workspace/dataset/train/images/benign (345).png,/workspace/dataset/train/masks/benign (345)_mask.png,Benign,Malignant,1,2492,True
/workspace/dataset/train/images/benign (6).png,/workspace/dataset/train/masks/benign (6)_mask.png,Benign,Malignant,1,7412,True
/workspace/dataset/train/images/malignant (49).png,/workspace/dataset/train/masks/malignant (49)_mask.png,Malignant,Malignant,1,18352,False
/workspace/dataset/train/images/malignant (37).png,/workspace/dataset/train/masks/malignant (37)_mask.png,Malignant,Malignant,1,65826,False
/workspace/dataset/train/images/normal (98).png,/workspace/dataset/train/masks/normal (98)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (355).png,/workspace/dataset/train/masks/benign (355)_mask.png,Benign,Malignant,1,53908,True
/workspace/dataset/train/images/benign (99).png,/workspace/dataset/train/masks/benign (99)_mask.png,Benign,Malignant,1,11116,True
/workspace/dataset/train/images/malignant (32).png,/workspace/dataset/train/masks/malignant (32)_mask.png,Malignant,Malignant,1,43141,False
/workspace/dataset/train/images/malignant (133).png,/workspace/dataset/train/masks/malignant (133)_mask.png,Malignant,Malignant,1,87550,False
/workspace/dataset/train/images/malignant (14).png,/workspace/dataset/train/masks/malignant (14)_mask.png,Malignant,Malignant,1,17891,False
/workspace/dataset/train/images/normal (54).png,/workspace/dataset/train/masks/normal (54)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/normal (66).png,/workspace/dataset/train/masks/normal (66)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (165).png,/workspace/dataset/train/masks/benign (165)_mask.png,Benign,Malignant,1,1624,True
/workspace/dataset/train/images/normal (62).png,/workspace/dataset/train/masks/normal (62)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (157).png,/workspace/dataset/train/masks/malignant (157)_mask.png,Malignant,Malignant,1,5265,False
/workspace/dataset/train/images/benign (159).png,/workspace/dataset/train/masks/benign (159)_mask.png,Benign,Malignant,1,3370,True
/workspace/dataset/train/images/benign (404).png,/workspace/dataset/train/masks/benign (404)_mask.png,Benign,Malignant,1,191793,True
/workspace/dataset/train/images/benign (112).png,/workspace/dataset/train/masks/benign (112)_mask.png,Benign,Malignant,1,4986,True
/workspace/dataset/train/images/benign (382).png,/workspace/dataset/train/masks/benign (382)_mask.png,Benign,Malignant,1,46809,True
/workspace/dataset/train/images/malignant (151).png,/workspace/dataset/train/masks/malignant (151)_mask.png,Malignant,Malignant,1,43830,False
/workspace/dataset/train/images/benign (233).png,/workspace/dataset/train/masks/benign (233)_mask.png,Benign,Malignant,1,43145,True
/workspace/dataset/train/images/benign (224).png,/workspace/dataset/train/masks/benign (224)_mask.png,Benign,Malignant,1,33419,True
/workspace/dataset/train/images/malignant (153).png,/workspace/dataset/train/masks/malignant (153)_mask.png,Malignant,Malignant,1,138357,False
/workspace/dataset/train/images/normal (18).png,/workspace/dataset/train/masks/normal (18)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (162).png,/workspace/dataset/train/masks/malignant (162)_mask.png,Malignant,Malignant,1,137556,False
/workspace/dataset/train/images/malignant (41).png,/workspace/dataset/train/masks/malignant (41)_mask.png,Malignant,Malignant,1,25281,False
/workspace/dataset/train/images/malignant (74).png,/workspace/dataset/train/masks/malignant (74)_mask.png,Malignant,Malignant,1,11269,False
/workspace/dataset/train/images/benign (270).png,/workspace/dataset/train/masks/benign (270)_mask.png,Benign,Malignant,1,3646,True
/workspace/dataset/train/images/benign (304).png,/workspace/dataset/train/masks/benign (304)_mask.png,Benign,Malignant,1,19804,True
/workspace/dataset/train/images/normal (79).png,/workspace/dataset/train/masks/normal (79)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (31).png,/workspace/dataset/train/masks/malignant (31)_mask.png,Malignant,Malignant,1,141193,False
/workspace/dataset/train/images/malignant (160).png,/workspace/dataset/train/masks/malignant (160)_mask.png,Malignant,Malignant,1,76548,False
/workspace/dataset/train/images/benign (4).png,/workspace/dataset/train/masks/benign (4)_mask.png,Benign,Malignant,1,1984,True
/workspace/dataset/train/images/benign (30).png,/workspace/dataset/train/masks/benign (30)_mask.png,Benign,Malignant,1,3621,True
/workspace/dataset/train/images/normal (126).png,/workspace/dataset/train/masks/normal (126)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (388).png,/workspace/dataset/train/masks/benign (388)_mask.png,Benign,Malignant,1,8031,True
/workspace/dataset/train/images/benign (340).png,/workspace/dataset/train/masks/benign (340)_mask.png,Benign,Malignant,1,84566,True
/workspace/dataset/train/images/benign (17).png,/workspace/dataset/train/masks/benign (17)_mask.png,Benign,Malignant,1,5079,True
/workspace/dataset/train/images/normal (13).png,/workspace/dataset/train/masks/normal (13)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (397).png,/workspace/dataset/train/masks/benign (397)_mask.png,Benign,Malignant,1,30776,True
/workspace/dataset/train/images/malignant (92).png,/workspace/dataset/train/masks/malignant (92)_mask.png,Malignant,Malignant,1,22068,False
/workspace/dataset/train/images/normal (87).png,/workspace/dataset/train/masks/normal (87)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (208).png,/workspace/dataset/train/masks/malignant (208)_mask.png,Malignant,Malignant,1,145369,False
/workspace/dataset/train/images/benign (111).png,/workspace/dataset/train/masks/benign (111)_mask.png,Benign,Malignant,1,2367,True
